source;kode_mk;clo_id;skill_text;skill_type;original_clo
TELU;BBK4DBB3;CLO1;pengembangan aplikasi mobile,;HSkill;BBK4DBB3: Mahasiswa mampu memahami konsep dalam pengembangan aplikasi mobile, trend aplikasi mobile dan perkembangannya serta dapat membuat aplikasi b
TELU;BBK4DBB3;CLO3;layanan web service/;HSkill;BBK4DBB3: Mahasiswa mampu merancang, membuat, serta mempertahankan tampilan (frontend), layanan web service/ backend, dan aplikasi bergerak yang memen
TELU;BBK4DBB3;CLO3;backend,;HSkill;BBK4DBB3: Mahasiswa mampu merancang, membuat, serta mempertahankan tampilan (frontend), layanan web service/ backend, dan aplikasi bergerak yang memen
TELU;BBK4DBB3;CLO3;penyimpanan data;HSkill;BBK4DBB3: Mahasiswa mampu merancang, membuat, serta mempertahankan tampilan (frontend), layanan web service/ backend, dan aplikasi bergerak yang memen
TELU;BBK2DAB3;CLO1;HTML,;Tech;BBK2DAB3: Mampu menerapkan HTML, CSS dan Bootstrap berdasarkan rancangan halaman website sederhana serta menggunakan pemrograman Server-Side berbasis 
TELU;BBK2DAB3;CLO1;CSS;Tech;BBK2DAB3: Mampu menerapkan HTML, CSS dan Bootstrap berdasarkan rancangan halaman website sederhana serta menggunakan pemrograman Server-Side berbasis 
TELU;BBK2DAB3;CLO1;Bootstrap;Tech;BBK2DAB3: Mampu menerapkan HTML, CSS dan Bootstrap berdasarkan rancangan halaman website sederhana serta menggunakan pemrograman Server-Side berbasis 
TELU;BBK2DAB3;CLO1;pemrograman Server-Side;HSkill;BBK2DAB3: Mampu menerapkan HTML, CSS dan Bootstrap berdasarkan rancangan halaman website sederhana serta menggunakan pemrograman Server-Side berbasis 
TELU;BBK2DAB3;CLO1;database,;HSkill;BBK2DAB3: Mampu menerapkan HTML, CSS dan Bootstrap berdasarkan rancangan halaman website sederhana serta menggunakan pemrograman Server-Side berbasis 
TELU;BBK2DAB3;CLO2;pemrograman server-side berbasis web,;HSkill;BBK2DAB3: Mampu menggunakan pemrograman server-side berbasis web, mengintegrasikan halaman website dengan database, serta mampu menggunakan konsep Mod
TELU;BBK2DAB3;CLO2;database,;HSkill;BBK2DAB3: Mampu menggunakan pemrograman server-side berbasis web, mengintegrasikan halaman website dengan database, serta mampu menggunakan konsep Mod
TELU;BBK3KBB3;CLO1;UI/UX;HSkill;BBK3KBB3: Mahasiswa mampu memahami konsep dasar UI/UX serta menerapkannya melalui pemahaman konsep UX design thinking process.
TELU;BBK3KBB3;CLO1;UX;HSkill;BBK3KBB3: Mahasiswa mampu memahami konsep dasar UI/UX serta menerapkannya melalui pemahaman konsep UX design thinking process.
TELU;BBK3KBB3;CLO1;design thinking process.;HSkill;BBK3KBB3: Mahasiswa mampu memahami konsep dasar UI/UX serta menerapkannya melalui pemahaman konsep UX design thinking process.
TELU;BBK3KBB3;CLO2;user research,;HSkill;BBK3KBB3: Mahasiswa mampu melakukan user research, mensintesis hasilnya, lalu melakukan ideation dan brainstorming solusi dari sintesa hasil tersebut.
TELU;BBK3KBB3;CLO2;ideation;HSkill;BBK3KBB3: Mahasiswa mampu melakukan user research, mensintesis hasilnya, lalu melakukan ideation dan brainstorming solusi dari sintesa hasil tersebut.
TELU;BBK3KBB3;CLO2;brainstorming;HSkill;BBK3KBB3: Mahasiswa mampu melakukan user research, mensintesis hasilnya, lalu melakukan ideation dan brainstorming solusi dari sintesa hasil tersebut.
TELU;BBK3KBB3;CLO3;desain UI/UX;HSkill;BBK3KBB3: Terdapat kemampuan mahasiswa untuk menerapkan berbagai konsep dalam desain UI/UX menggunakan Figma, termasuk autolayout, design system, vari
TELU;BBK3KBB3;CLO3;Figma,;Tech;BBK3KBB3: Terdapat kemampuan mahasiswa untuk menerapkan berbagai konsep dalam desain UI/UX menggunakan Figma, termasuk autolayout, design system, vari
TELU;BBK3KBB3;CLO3;autolayout,;HSkill;BBK3KBB3: Terdapat kemampuan mahasiswa untuk menerapkan berbagai konsep dalam desain UI/UX menggunakan Figma, termasuk autolayout, design system, vari
TELU;BBK3KBB3;CLO3;design system,;HSkill;BBK3KBB3: Terdapat kemampuan mahasiswa untuk menerapkan berbagai konsep dalam desain UI/UX menggunakan Figma, termasuk autolayout, design system, vari
TELU;BBK3KBB3;CLO3;interactive;HSkill;BBK3KBB3: Terdapat kemampuan mahasiswa untuk menerapkan berbagai konsep dalam desain UI/UX menggunakan Figma, termasuk autolayout, design system, vari
TELU;BBK3KBB3;CLO4;usability testing;HSkill;BBK3KBB3: T Mahasiswa mampu melakukan usability testing pada prototype serta melakukan sintesis hasil dari pengujian.
TELU;BBK3KBB3;CLO4;sintesis;HSkill;BBK3KBB3: T Mahasiswa mampu melakukan usability testing pada prototype serta melakukan sintesis hasil dari pengujian.
TELU;BBK2MAB2;CLO2;implementasi;HSkill;BBK2MAB2: Mahasiswa mampu memahami konsep dasar implementasi dan pengujian sistem serta siklus hidup pengembangan sistem, membedakan berbagai model im
TELU;BBK2MAB2;CLO2;pengujian sistem;HSkill;BBK2MAB2: Mahasiswa mampu memahami konsep dasar implementasi dan pengujian sistem serta siklus hidup pengembangan sistem, membedakan berbagai model im
TELU;BBK2MAB2;CLO2;siklus hidup pengembangan sistem,;HSkill;BBK2MAB2: Mahasiswa mampu memahami konsep dasar implementasi dan pengujian sistem serta siklus hidup pengembangan sistem, membedakan berbagai model im
